=== КАК ИМЕННО СТРОЯТСЯ КОДЫ (ОБЪЯСНЕНИЕ) ===

1. РАСЧЕТ ВЕРОЯТНОСТИ (PROBABILITY):
Формула: P = (Кол-во повторений символа) / (Общее кол-во символов: 375489)
2. ЛОГИКА ХАФФМАНА:
   - Берем 2 самых редких символа и объединяем в узел.
   - Левой ветке даем '0', правой '1'.
   - Символы, которые встречаются ЧАЩЕ, получают КОРОТКИЙ код.
   - Символы, которые встречаются РЕДКО, получают ДЛИННЫЙ код.
===========================================================================
Symbol       | Count      | Probability  | Huffman Code
---------------------------------------------------------------------------
'\n'         | 9608       | 0.025588     | 01010
' '          | 61096      | 0.162710     | 110
'!'          | 541        | 0.001441     | 011000000
'"'          | 22         | 0.000059     | 01100110001100
'$'          | 2          | 0.000005     | 011001100001110011
'%'          | 1          | 0.000003     | 011001100001110010
"'"          | 7          | 0.000019     | 1111100101001110
'('          | 34         | 0.000091     | 0110011000000
')'          | 34         | 0.000091     | 0110011000001
'*'          | 10         | 0.000027     | 1111100101001111
','          | 4554       | 0.012128     | 1111111
'-'          | 269        | 0.000716     | 11111100111
'.'          | 5504       | 0.014658     | 100100
'/'          | 6          | 0.000016     | 0110011000011101
'0'          | 29         | 0.000077     | 11111001010001
'1'          | 97         | 0.000258     | 111000010000
'2'          | 47         | 0.000125     | 0110011000111
'3'          | 23         | 0.000061     | 01100110001101
'4'          | 19         | 0.000051     | 01100110000110
'5'          | 18         | 0.000048     | 01100110000100
'6'          | 13         | 0.000035     | 111110010100000
'7'          | 15         | 0.000040     | 111110010100100
'8'          | 18         | 0.000048     | 01100110000101
'9'          | 13         | 0.000035     | 111110010100001
':'          | 120        | 0.000320     | 111110010101
';'          | 11         | 0.000029     | 011001100001111
'?'          | 919        | 0.002447     | 111110000
'A'          | 783        | 0.002085     | 111000001
'B'          | 610        | 0.001625     | 011000010
'C'          | 259        | 0.000690     | 11111001011
'D'          | 359        | 0.000956     | 0110011011
'E'          | 259        | 0.000690     | 11111100110
'F'          | 213        | 0.000567     | 11100001101
'G'          | 410        | 0.001092     | 1110000101
'H'          | 643        | 0.001712     | 011000011
'I'          | 2513       | 0.006693     | 0110001
'J'          | 207        | 0.000551     | 11100001100
'K'          | 16         | 0.000043     | 111110010100110
'L'          | 143        | 0.000381     | 01100000111
'M'          | 1005       | 0.002677     | 111110011
'N'          | 273        | 0.000727     | 0110000010
'O'          | 205        | 0.000546     | 11100001001
'P'          | 766        | 0.002040     | 111000000
'Q'          | 15         | 0.000040     | 111110010100101
'R'          | 526        | 0.001401     | 1111110010
'S'          | 514        | 0.001369     | 1111110001
'T'          | 975        | 0.002597     | 111110001
'U'          | 84         | 0.000224     | 011001100010
'V'          | 107        | 0.000285     | 111000010001
'W'          | 512        | 0.001364     | 1111110000
'X'          | 2          | 0.000005     | 01100110000111000
'Y'          | 425        | 0.001132     | 1110000111
'_'          | 1368       | 0.003643     | 01100111
'a'          | 22828      | 0.060795     | 1000
'b'          | 3760       | 0.010014     | 1110001
'c'          | 6407       | 0.017063     | 101001
'd'          | 13090      | 0.034861     | 10101
'e'          | 36325      | 0.096741     | 001
'f'          | 5371       | 0.014304     | 011010
'g'          | 5501       | 0.014650     | 011011
'h'          | 16607      | 0.044228     | 11110
'i'          | 18432      | 0.049088     | 0001
'j'          | 341        | 0.000908     | 0110011010
'k'          | 2318       | 0.006173     | 11111101
'l'          | 11593      | 0.030874     | 10011
'm'          | 7510       | 0.020001     | 111001
'n'          | 18442      | 0.049115     | 0100
'o'          | 21912      | 0.058356     | 0111
'p'          | 3933       | 0.010474     | 1111101
'q'          | 336        | 0.000895     | 0110011001
'r'          | 16579      | 0.044153     | 11101
's'          | 16874      | 0.044939     | 0000
't'          | 26191      | 0.069752     | 1011
'u'          | 9836       | 0.026195     | 01011
'v'          | 2609       | 0.006948     | 0110010
'w'          | 5901       | 0.015716     | 100101
'x'          | 486        | 0.001294     | 1111100100
'y'          | 5945       | 0.015833     | 101000
'z'          | 140        | 0.000373     | 01100000110
