ПОШАГОВЫЙ РАСЧЕТ НЕРАВЕНСТВА КРАФТА-МАКМИЛЛАНА

Символ       | Длина (l)  | Вклад (2^-l)    | Текущая сумма
-----------------------------------------------------------------
'\n'         | 5          | 0.03125000      | 0.0312500000
' '          | 3          | 0.12500000      | 0.1562500000
'!'          | 9          | 0.00195312      | 0.1582031250
'"'          | 14         | 0.00006104      | 0.1582641602
'$'          | 18         | 0.00000381      | 0.1582679749
'%'          | 18         | 0.00000381      | 0.1582717896
"'"          | 16         | 0.00001526      | 0.1582870483
'('          | 13         | 0.00012207      | 0.1584091187
')'          | 13         | 0.00012207      | 0.1585311890
'*'          | 16         | 0.00001526      | 0.1585464478
','          | 7          | 0.00781250      | 0.1663589478
'-'          | 11         | 0.00048828      | 0.1668472290
'.'          | 6          | 0.01562500      | 0.1824722290
'/'          | 16         | 0.00001526      | 0.1824874878
'0'          | 14         | 0.00006104      | 0.1825485229
'1'          | 12         | 0.00024414      | 0.1827926636
'2'          | 13         | 0.00012207      | 0.1829147339
'3'          | 14         | 0.00006104      | 0.1829757690
'4'          | 14         | 0.00006104      | 0.1830368042
'5'          | 14         | 0.00006104      | 0.1830978394
'6'          | 15         | 0.00003052      | 0.1831283569
'7'          | 15         | 0.00003052      | 0.1831588745
'8'          | 14         | 0.00006104      | 0.1832199097
'9'          | 15         | 0.00003052      | 0.1832504272
':'          | 12         | 0.00024414      | 0.1834945679
';'          | 15         | 0.00003052      | 0.1835250854
'?'          | 9          | 0.00195312      | 0.1854782104
'A'          | 9          | 0.00195312      | 0.1874313354
'B'          | 9          | 0.00195312      | 0.1893844604
'C'          | 11         | 0.00048828      | 0.1898727417
'D'          | 10         | 0.00097656      | 0.1908493042
'E'          | 11         | 0.00048828      | 0.1913375854
'F'          | 11         | 0.00048828      | 0.1918258667
'G'          | 10         | 0.00097656      | 0.1928024292
'H'          | 9          | 0.00195312      | 0.1947555542
'I'          | 7          | 0.00781250      | 0.2025680542
'J'          | 11         | 0.00048828      | 0.2030563354
'K'          | 15         | 0.00003052      | 0.2030868530
'L'          | 11         | 0.00048828      | 0.2035751343
'M'          | 9          | 0.00195312      | 0.2055282593
'N'          | 10         | 0.00097656      | 0.2065048218
'O'          | 11         | 0.00048828      | 0.2069931030
'P'          | 9          | 0.00195312      | 0.2089462280
'Q'          | 15         | 0.00003052      | 0.2089767456
'R'          | 10         | 0.00097656      | 0.2099533081
'S'          | 10         | 0.00097656      | 0.2109298706
'T'          | 9          | 0.00195312      | 0.2128829956
'U'          | 12         | 0.00024414      | 0.2131271362
'V'          | 12         | 0.00024414      | 0.2133712769
'W'          | 10         | 0.00097656      | 0.2143478394
'X'          | 17         | 0.00000763      | 0.2143554688
'Y'          | 10         | 0.00097656      | 0.2153320312
'_'          | 8          | 0.00390625      | 0.2192382812
'a'          | 4          | 0.06250000      | 0.2817382812
'b'          | 7          | 0.00781250      | 0.2895507812
'c'          | 6          | 0.01562500      | 0.3051757812
'd'          | 5          | 0.03125000      | 0.3364257812
'e'          | 3          | 0.12500000      | 0.4614257812
'f'          | 6          | 0.01562500      | 0.4770507812
'g'          | 6          | 0.01562500      | 0.4926757812
'h'          | 5          | 0.03125000      | 0.5239257812
'i'          | 4          | 0.06250000      | 0.5864257812
'j'          | 10         | 0.00097656      | 0.5874023438
'k'          | 8          | 0.00390625      | 0.5913085938
'l'          | 5          | 0.03125000      | 0.6225585938
'm'          | 6          | 0.01562500      | 0.6381835938
'n'          | 4          | 0.06250000      | 0.7006835938
'o'          | 4          | 0.06250000      | 0.7631835938
'p'          | 7          | 0.00781250      | 0.7709960938
'q'          | 10         | 0.00097656      | 0.7719726562
'r'          | 5          | 0.03125000      | 0.8032226562
's'          | 4          | 0.06250000      | 0.8657226562
't'          | 4          | 0.06250000      | 0.9282226562
'u'          | 5          | 0.03125000      | 0.9594726562
'v'          | 7          | 0.00781250      | 0.9672851562
'w'          | 6          | 0.01562500      | 0.9829101562
'x'          | 10         | 0.00097656      | 0.9838867188
'y'          | 6          | 0.01562500      | 0.9995117188
'z'          | 11         | 0.00048828      | 1.0000000000
-----------------------------------------------------------------
ИТОГ: 1.0000000000 (Должно быть <= 1.0)
